account_id,created_date,account_balance,login_count,email_address,segment_id,satisfaction_score
ACC-000001,2023-05-19,7414.89,119,kauzh@outlook.com,SEG04,3.57
ACC-000002,2024-12-16,9744.53,41,oypqwznb@corp.io,SEG03,4.22
ACC-000003,2022-05-28,349.23,142,aszloh@outlook.com,SEG01,4.21
ACC-000004,2022-10-25,8024.19,25,fqsfnqnd@outlook.com,SEG04,5.98
ACC-000005,2023-10-26,7372.04,88,yleucg@outlook.com,SEG03,9.68
ACC-000006,2022-11-14,521.72,55,qdoyd@yahoo.com,SEG01,3.22
ACC-000007,2023-04-11,2396.18,156,rbfmyd@yahoo.com,SEG03,5.59
ACC-000008,2023-01-18,7403.29,33,xodllzhy@corp.io,SEG05,1.46
ACC-000009,2022-01-29,7871.99,114,pubbeq@outlook.com,SEG05,6.46
ACC-000010,2024-03-20,7812.1,141,wnsiv@corp.io,SEG02,1.2
ACC-000011,2024-07-18,4282.09,50,jzdtku@gmail.com,SEG04,3.34
ACC-000012,2022-07-01,5865.26,5,sxgcmgwg@outlook.com,SEG02,2.73
ACC-000013,2023-03-01,1504.29,167,ggbeqqd@gmail.com,SEG03,3.96
ACC-000014,2024-02-14,1414.73,179,nxksfr@yahoo.com,SEG04,8.72
ACC-000015,2023-02-10,963.0,32,jjlkzua@yahoo.com,SEG04,1.71
ACC-000016,2023-09-24,855.06,17,wlte@corp.io,SEG01,3.39
ACC-000017,2022-12-07,3533.38,104,uiffsm@yahoo.com,SEG02,1.11
ACC-000018,2022-01-07,6418.78,131,blyufk@corp.io,SEG03,7.54
ACC-000019,2024-08-15,3336.95,114,xvgghylz@gmail.com,SEG05,8.0
ACC-000020,2022-06-16,5315.09,177,mwrl@yahoo.com,SEG05,5.23
ACC-000021,2022-06-22,5485.52,138,njecq@outlook.com,SEG02,4.68
ACC-000022,2022-04-28,3631.93,11,bcov@corp.io,SEG01,9.6
ACC-000023,2024-12-23,741.78,127,ldxfrmfc@outlook.com,SEG04,9.98
ACC-000024,2022-10-07,7523.18,156,mxypycdf@corp.io,SEG01,2.15
ACC-000025,2023-12-21,4901.52,16,liiuwkc@gmail.com,SEG01,6.85
ACC-000026,2023-04-10,2803.29,116,couzyd@gmail.com,SEG05,2.03
ACC-000027,2022-01-25,7501.43,110,awckr@outlook.com,SEG01,6.18
ACC-000028,2022-08-10,5301.8,137,ikbxbe@yahoo.com,SEG03,1.65
ACC-000029,2023-02-05,9326.6,49,wfwmzzlg@corp.io,SEG03,7.54
ACC-000030,2024-09-07,2529.29,96,xgvrib@corp.io,SEG03,8.44
ACC-000031,2024-12-17,3533.88,36,cyxrwfhv@corp.io,SEG03,8.39
ACC-000032,2024-12-15,7046.41,100,rwqpseao@corp.io,SEG05,4.8
ACC-000033,2022-07-17,9150.83,34,gokuvnxw@corp.io,SEG02,4.62
ACC-000034,2024-02-17,8854.86,164,upuxe@gmail.com,SEG02,5.88
ACC-000035,2023-07-08,3409.08,192,kjdnahmt@outlook.com,SEG04,8.7
ACC-000036,2022-01-07,2707.08,59,rwgf@gmail.com,SEG05,2.7
ACC-000037,2023-07-20,1716.95,192,miemtet@corp.io,SEG03,5.29
ACC-000038,2024-12-28,9785.61,38,cpsnxk@gmail.com,SEG05,6.52
ACC-000039,2022-08-07,8370.22,96,egnx@gmail.com,SEG04,8.16
ACC-000040,2022-05-07,7489.77,155,inrgor@corp.io,SEG02,2.58
ACC-000041,2023-11-06,2561.43,155,hmow@corp.io,SEG02,7.17
ACC-000042,2023-08-27,6435.42,182,vchycad@gmail.com,SEG02,5.3
ACC-000043,2024-02-05,6856.56,196,ytiobz@outlook.com,SEG03,4.21
ACC-000044,2023-07-31,8562.02,152,zmtrwl@corp.io,SEG04,5.1
ACC-000045,2024-10-09,4401.05,29,esmcynz@gmail.com,SEG01,2.01
ACC-000046,2022-04-21,2221.85,0,ixai@yahoo.com,SEG03,3.98
ACC-000047,2022-02-01,1370.27,5,cbiwtxu@outlook.com,SEG01,4.74
ACC-000048,2023-03-11,2258.45,101,iryzx@yahoo.com,SEG03,4.44
ACC-000049,2023-04-04,6263.98,171,fftnohn@yahoo.com,SEG02,8.24
ACC-000050,2022-09-27,6491.16,184,yxicxbu@gmail.com,SEG05,8.06
ACC-000051,2022-02-28,542.98,165,muwmp@gmail.com,SEG04,7.27
ACC-000052,2022-07-18,3395.56,119,xbkq@yahoo.com,SEG05,8.55
ACC-000053,2024-09-30,974.26,131,puguebrt@gmail.com,SEG03,7.87
ACC-000054,2022-07-01,6563.64,22,ofjxhx@gmail.com,SEG03,1.78
ACC-000055,2022-06-09,1524.41,73,hvhoja@outlook.com,SEG03,2.45
ACC-000056,2023-07-15,5332.97,153,dzwlfq@corp.io,SEG03,8.11
ACC-000057,2023-05-20,3929.06,13,fgdq@yahoo.com,SEG03,2.25
ACC-000058,2022-06-21,6659.34,142,fxkrsryx@gmail.com,SEG02,5.22
ACC-000059,2022-08-09,5135.22,101,swbwxb@yahoo.com,SEG02,8.94
ACC-000060,2022-12-25,2768.81,11,egruqcri@yahoo.com,SEG01,1.52
ACC-000061,2024-05-29,1504.66,32,nafut@gmail.com,SEG05,6.73
ACC-000062,2024-03-13,7557.2,78,raih@gmail.com,SEG03,5.44
ACC-000063,2022-09-15,7707.14,29,vqftafgs@outlook.com,SEG02,5.1
ACC-000064,2022-06-04,9609.59,155,jtzrk@outlook.com,SEG02,8.66
ACC-000065,2022-02-22,378.22,125,tklsepu@gmail.com,SEG02,5.03
ACC-000066,2023-12-15,3708.65,14,nsxnnubu@corp.io,SEG03,5.29
ACC-000067,2024-09-09,6403.16,24,dwuighhi@yahoo.com,SEG04,7.11
ACC-000068,2022-12-27,5053.36,191,djoedk@outlook.com,SEG03,1.27
ACC-000069,2022-03-31,6274.07,97,svtuug@outlook.com,SEG04,1.55
ACC-000070,2023-07-31,8277.9,182,gqncrf@outlook.com,SEG05,2.33
ACC-000071,2024-04-30,9113.67,104,aynl@corp.io,SEG03,8.8
ACC-000072,2024-02-10,7190.69,150,kgohz@yahoo.com,SEG01,2.54
ACC-000073,2022-07-06,886.12,67,gkclgnj@outlook.com,SEG01,6.56
ACC-000074,2023-02-02,738.81,181,plzvdt@gmail.com,SEG02,5.46
ACC-000075,2023-03-15,8674.81,87,yclfqyup@corp.io,SEG03,5.82
